"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 26 14:40:43 CST 2021","Fri Mar 26 14:40:43 CST 2021","1","","test_one","","","","test_add_1",""
"skipped","Fri Mar 26 14:40:43 CST 2021","Fri Mar 26 14:40:43 CST 2021","0","","test_shopping","TestShoppingTrolley","","","test_delete_shopping_trolley",""
"passed","Fri Mar 26 14:40:43 CST 2021","Fri Mar 26 14:40:43 CST 2021","1","","test_shopping","TestShoppingTrolley","","","test_edit_shopping_trolley",""
"failed","Fri Mar 26 14:40:43 CST 2021","Fri Mar 26 14:40:43 CST 2021","6","","test_shopping","TestShoppingTrolley","","","test_add_shopping_trolley",""
